object_code;measurement_date;measurement_reference;quantity_code;parameter_type;parameter_specification;value_measured;unit_measured;value_calculated;unit_calculated;classification_code
SCHLD_0001;2013-03-14T00:00:00Z;2013003029;NUMBPERVLM;PHYTPT;Biota;2;n;148148;n/L;NA
SCHLD_0001;2013-03-14T00:00:00Z;2013003029;NUMBPERVLM;PHYTPT;Chlorophyta;2;n;148148;n/L;NA
SCHLD_0001;2013-03-14T00:00:00Z;2013003029;NUMBPERVLM;PHYTPT;Chromista [1];9;n;666666;n/L;NA
SCHLD_0001;2013-03-14T00:00:00Z;2013003029;NUMBPERVLM;DIATM;Coscinodiscophyceae;1;n;571;n/L;NA
SCHLD_0001;2013-03-14T00:00:00Z;2013003029;NUMBPERVLM;PHYTPT;Cryptomonadales;7;n;518518;n/L;NA
SCHLD_0001;2013-03-14T00:00:00Z;2013003029;NUMBPERVLM;PHYTPT;Eukaryota;4;n;2666666;n/L;NA
SCHLD_0001;2013-03-14T00:00:00Z;2013003029;NUMBPERVLM;PHYTPT;Khakista;1;n;2000;n/L;NA
SCHLD_0001;2013-03-14T00:00:00Z;2013003029;NUMBPERVLM;PHYTPT;Khakista;1;n;2000;n/L;NA
SCHLD_0001;2013-03-14T00:00:00Z;2013003029;NUMBPERVLM;PHYTPT;Khakista;6;n;384758;n/L;NA
SCHLD_0001;2013-03-14T00:00:00Z;2013003029;NUMBPERVLM;PHYTPT;Micromonas pusilla;1;n;666666;n/L;NA
SCHLD_0001;2013-03-14T00:00:00Z;2013003029;NUMBPERVLM;DIATM;Nitzschia sigma;1;n;571;n/L;NA
SCHLD_0001;2013-03-14T00:00:00Z;2013003029;NUMBPERVLM;PHYTPT;Planktothrix agardhii;40;n;22857;n/L;NA
SCHLD_0001;2013-03-14T00:00:00Z;2013003029;NUMBPERVLM;DIATM;Pseudopodosira westii;1;n;571;n/L;NA
SCHLD_0001;2013-03-14T00:00:00Z;2013003029;NUMBPERVLM;DIATM;Thalassiosira;1;n;571;n/L;NA
SCHLD_0001;2013-03-14T00:00:00Z;2013003029;NUMBPERVLM;DIATM;Thalassiosira nodulolineata;33;n;18857;n/L;NA
SCHLD_0001;2013-03-14T00:00:00Z;2013003029;EQPMNT;NA;NA;0;DIMLSS;0;DIMLSS;SAMPSTCK
SCHLD_0001;2013-03-28T00:00:00Z;2013003449;NUMBPERVLM;PHYTPT;Chlorophyta;4;n;115107;n/L;NA
SCHLD_0001;2013-03-28T00:00:00Z;2013003449;NUMBPERVLM;PHYTPT;Choanoflagellatea;1;n;677966;n/L;NA
SCHLD_0001;2013-03-28T00:00:00Z;2013003449;NUMBPERVLM;PHYTPT;Chromista [1];2;n;296296;n/L;NA
SCHLD_0001;2013-03-28T00:00:00Z;2013003449;NUMBPERVLM;PHYTPT;Cryptomonadales;3;n;205702;n/L;NA
SCHLD_0001;2013-03-28T00:00:00Z;2013003449;NUMBPERVLM;PHYTPT;Eukaryota;2;n;1355932;n/L;NA
SCHLD_0001;2013-03-28T00:00:00Z;2013003449;NUMBPERVLM;PHYTPT;Heterocapsa;1;n;148148;n/L;NA
SCHLD_0001;2013-03-28T00:00:00Z;2013003449;NUMBPERVLM;PHYTPT;Khakista;1;n;148148;n/L;NA
SCHLD_0001;2013-03-28T00:00:00Z;2013003449;NUMBPERVLM;DIATM;Paralia sulcata;5;n;143884;n/L;NA
SCHLD_0001;2013-03-28T00:00:00Z;2013003449;NUMBPERVLM;PHYTPT;Scenedesmaceae [1];1;n;148148;n/L;NA
SCHLD_0001;2013-03-28T00:00:00Z;2013003449;NUMBPERVLM;DIATM;Stephanodiscaceae;3;n;444444;n/L;NA
SCHLD_0001;2013-03-28T00:00:00Z;2013003449;NUMBPERVLM;DIATM;Surirella;2;n;1333;n/L;NA
SCHLD_0001;2013-03-28T00:00:00Z;2013003449;NUMBPERVLM;DIATM;Thalassiosira nodulolineata;54;n;36000;n/L;NA
SCHLD_0001;2013-03-28T00:00:00Z;2013003449;EQPMNT;NA;NA;0;DIMLSS;0;DIMLSS;SAMPSTCK
SCHLD_0001;2013-04-09T00:00:00Z;2013003917;NUMBPERVLM;PHYTPT;Biota;2;n;1355932;n/L;NA
SCHLD_0001;2013-04-09T00:00:00Z;2013003917;NUMBPERVLM;DIATM;Chaetoceros;1;n;28776;n/L;NA
